,,,,Global,,,Building load,,Ground_Core_Zone,,,Ground_South,,,Ground_North,,,Ground_West,,,Ground_East,,,Ground_Perimeter,,,Middle_Core_Zone,,,Middle_South,,,Middle_North,,,Middle_West,,,Middle_East,,,Middle_Perimeter,,,Top_Core_Zone,,,Top_South,,,Top_North,,,Top_West,,,Top_East,,,Top_Perimeter,,,Input Matrix,,,Output Matrix,,,,,
Month,Day,Hour,Type,Outside dry-bulb temp (F),Direct normal solar rad (Btu/hr-ft2) (weather file),Total horiz solar rad (Btu/hr-ft2) (weather file),Building cool load (sensible),Building cool load (latent),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Perimeter Sensible Load,Perimeter Latent Load,Trial perimeter zone temperature,Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Perimeter Sensible Load,Perimeter Latent Load,Trial perimeter zone temperature,Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Perimeter Sensible Load,Perimeter Latent Load,Trial perimeter zone temperature,T_out (in Celcius),q_solar,q_IHG,Ground T_c,Ground T_p,Middle T_c,Middle T_p,Top T_c,Top T_p
1,1,1,8,42,0,0,1706.31,0,54.7929,0,69.9002,-3317.7,0,69.2812,-4844.31,0,64.1055,-5013.03,0,64.555,-4700.59,0,65.5651,-17875.63,0,65.8767,235.931,0,71.085,-3953.18,0,68.6822,-4244.44,0,66.911,-4505.34,0,66.9942,-4503.01,0,67.0745,-17205.97,0,67.415475,235.931,0,70.1845,-3953.18,0,67.939,-4244.44,0,66.1593,-4505.34,0,66.2503,-4503.01,0,66.3311,-17205.97,0,66.669925,5.56,0,0,21.06,18.82,21.71,19.68,21.21,19.26
1,1,2,8,42,0,0,1706.31,0,54.7928,0,69.4942,-3502.75,0,68.6562,-4955.86,0,63.6539,-5156.68,0,64.0639,-4833.28,0,65.0588,-18448.57,0,65.3582,235.931,0,70.4175,-4248.55,0,67.5331,-4400.46,0,66.1411,-4698.06,0,66.1445,-4680.77,0,66.2186,-18027.84,0,66.509325,235.931,0,69.3392,-4248.55,0,66.6343,-4400.46,0,65.2319,-4698.06,0,65.245,-4680.77,0,65.3189,-18027.84,0,65.607525,5.56,0,0,20.83,18.53,21.34,19.17,20.74,18.67
1,1,3,8,41,0,0,1698.94,0,53.8719,0,69.1422,-3624.47,0,68.1302,-5050.08,0,63.2429,-5238.76,0,63.6377,-4940.47,0,64.6046,-18853.78,0,64.90385,235.01,0,69.7784,-4466.18,0,66.5142,-4539.09,0,65.4137,-4833.21,0,65.3668,-4829.79,0,65.424,-18668.27,0,65.679675,235.01,0,68.5206,-4466.18,0,65.4564,-4539.09,0,64.3449,-4833.21,0,64.3082,-4829.79,0,64.3658,-18668.27,0,64.618825,5.00,0,0,20.63,18.28,20.99,18.71,20.29,18.12
1,1,4,8,43,0,0,1713.67,0,55.7133,0,68.8255,-3438.39,0,67.9025,-4830.64,0,63.1314,-5014.63,0,63.518,-4724.16,0,64.4612,-18007.82,0,64.753275,236.852,0,69.17,-4358.62,0,65.8069,-4370.56,0,64.9411,-4659,0,64.8608,-4656.6,0,64.9075,-18044.78,0,65.129075,236.852,0,67.7309,-4358.62,0,64.5921,-4370.56,0,63.7139,-4659,0,63.6453,-4656.6,0,63.6924,-18044.78,0,63.910925,6.11,0,0,20.46,18.20,20.65,18.41,19.85,17.73
1,1,5,8,43,0,0,1713.67,0,55.7132,0,68.5958,-3473.24,0,67.5854,-4829.96,0,62.9324,-5012.86,0,63.3051,-4729.71,0,64.2254,-18045.77,0,64.512075,236.852,0,68.6313,-4427.24,0,65.103,-4384.92,0,64.4343,-4673.54,0,64.3227,-4672.1,0,64.3608,-18157.8,0,64.5552,236.852,0,67.015,-4427.24,0,63.7363,-4384.92,0,63.0541,-4673.54,0,62.9553,-4672.1,0,62.9938,-18157.8,0,63.184875,6.11,0,0,20.33,18.06,20.35,18.09,19.45,17.32
1,1,6,8,43,0,0,1713.67,0,55.7131,0,68.378,-3506.99,0,67.2877,-4825.69,0,62.7507,-5011.33,0,63.1087,-4735.21,0,64.0067,-18079.22,0,64.28845,236.852,0,68.1329,-4477.87,0,64.4902,-4389.7,0,63.9844,-4680.14,0,63.8473,-4679.65,0,63.8782,-18227.36,0,64.050025,236.852,0,66.3436,-4477.87,0,62.9765,-4389.7,0,62.4556,-4680.14,0,62.3327,-4679.65,0,62.3641,-18227.36,0,62.532225,6.11,0,0,20.21,17.94,20.07,17.81,19.08,16.96
1,1,7,8,43,0,0,1713.67,0,55.713,0,68.1667,-3557.88,0,66.9815,-4838.83,0,62.5583,-5028.23,0,62.9009,-4758.78,0,63.7774,-18183.72,0,64.054525,236.852,0,67.6566,-4531.95,0,63.9242,-4405.57,0,63.5532,-4698.3,0,63.3949,-4698.6,0,63.4199,-18334.42,0,63.57305,236.852,0,65.7027,-4531.95,0,62.2717,-4405.57,0,61.8842,-4698.3,0,61.7415,-4698.6,0,61.767,-18334.42,0,61.9161,6.11,0,0,20.09,17.81,19.81,17.54,18.72,16.62
1,1,8,8,43,0,3,1713.67,0,55.7128,0,67.958,-3332.92,0,66.8655,-4560.61,0,62.5209,-4746.75,0,62.8508,-4520.21,0,63.6848,-17160.49,0,63.9805,236.852,0,67.2028,-4339.62,0,63.512,-4167.2,0,63.2667,-4453.35,0,63.0886,-4491.04,0,63.0822,-17451.21,0,63.237375,236.852,0,65.0922,-4339.62,0,61.7123,-4167.2,0,61.4508,-4453.35,0,61.2879,-4491.04,0,61.2817,-17451.21,0,61.433175,6.11,39.631,0,19.98,17.77,19.56,17.35,18.38,16.35
1,1,9,8,44,29,20,1720.38,0,56.551,0,67.7895,-435.329,0,69.0491,-3821.09,0,63.0514,-4104.28,0,63.2884,-632.503,0,66.7586,-8993.202,0,65.536875,237.69,0,66.7884,-1488.01,0,65.0821,-3381.89,0,63.499,-3796.56,0,63.223,-666.917,0,65.3814,-9333.377,0,64.296375,237.69,0,64.5209,-1488.01,0,63.1619,-3381.89,0,61.5614,-3796.56,0,61.3018,-666.917,0,63.462,-9333.377,0,62.371775,6.67,250.61,0,19.88,18.63,19.33,17.94,18.07,16.87
